lemma,pos,cefr_level,word_type,definition_en,definition_th,source,form,form_type,definition_th_simple
a,det,A1,single,Used before a noun to mean one of something,หนึ่ง (คำนำหน้านาม),oxford3000,a,base,ใช้นำหน้าคำนามเพื่อหมายถึงสิ่งใดสิ่งหนึ่ง
abandon,verb,B2,single,"To leave a person, place or thing and not come back","ทิ้ง, ละทิ้ง",oxford3000,abandon,base,ทิ้งคนหรือสถานที่หรือสิ่งของแล้วไม่กลับมาอีก
abandon,verb,B2,single,"To leave a person, place or thing and not come back","ทิ้ง, ละทิ้ง",oxford3000,abandons,third_person,ทิ้งคนหรือสถานที่หรือสิ่งของแล้วไม่กลับมาอีก
abandon,verb,B2,single,"To leave a person, place or thing and not come back","ทิ้ง, ละทิ้ง",oxford3000,abandoned,past,ทิ้งคนหรือสถานที่หรือสิ่งของแล้วไม่กลับมาอีก
abandon,verb,B2,single,"To leave a person, place or thing and not come back","ทิ้ง, ละทิ้ง",oxford3000,abandoning,gerund,ทิ้งคนหรือสถานที่หรือสิ่งของแล้วไม่กลับมาอีก
ability,noun,A2,single,The power or skill to do something,ความสามารถ,oxford3000,ability,base,ความสามารถหรือทักษะในการทำสิ่งใดสิ่งหนึ่ง
ability,noun,A2,single,The power or skill to do something,ความสามารถ,oxford3000,abilities,plural,ความสามารถหรือทักษะในการทำสิ่งใดสิ่งหนึ่ง
able,adj,A2,single,Having the skill or the chance to do something,"สามารถ, ทำได้",oxford3000,able,base,มีทักษะหรือมีโอกาสที่จะทำสิ่งใดสิ่งหนึ่งได้
able,adj,A2,single,Having the skill or the chance to do something,"สามารถ, ทำได้",oxford3000,abler,comparative,มีทักษะหรือมีโอกาสที่จะทำสิ่งใดสิ่งหนึ่งได้
able,adj,A2,single,Having the skill or the chance to do something,"สามารถ, ทำได้",oxford3000,ablest,superlative,มีทักษะหรือมีโอกาสที่จะทำสิ่งใดสิ่งหนึ่งได้
abolish,verb,C1,single,"To officially end a law, a system or a custom","ยกเลิก, เลิกล้ม",oxford5000,abolish,base,ยกเลิกกฎหมาย ระบบ หรือธรรมเนียมอย่างเป็นทางการ
abolish,verb,C1,single,"To officially end a law, a system or a custom","ยกเลิก, เลิกล้ม",oxford5000,abolishes,third_person,ยกเลิกกฎหมาย ระบบ หรือธรรมเนียมอย่างเป็นทางการ
abolish,verb,C1,single,"To officially end a law, a system or a custom","ยกเลิก, เลิกล้ม",oxford5000,abolished,past,ยกเลิกกฎหมาย ระบบ หรือธรรมเนียมอย่างเป็นทางการ
abolish,verb,C1,single,"To officially end a law, a system or a custom","ยกเลิก, เลิกล้ม",oxford5000,abolishing,gerund,ยกเลิกกฎหมาย ระบบ หรือธรรมเนียมอย่างเป็นทางการ
abortion,noun,C1,single,The act of ending a pregnancy on purpose,การทำแท้ง,oxford5000,abortion,base,การทำแท้งโดยตั้งใจยุติการตั้งครรภ์
abortion,noun,C1,single,The act of ending a pregnancy on purpose,การทำแท้ง,oxford5000,abortions,plural,การทำแท้งโดยตั้งใจยุติการตั้งครรภ์
about,adv,A1,single,A little more or less than a number; nearly,"ประมาณ, ราวๆ",oxford3000,about,base,มากหรือน้อยกว่าตัวเลขเล็กน้อย เกือบจะพอดี
about,prep,A1,single,On the subject of something,เกี่ยวกับ,oxford3000,about,base,เกี่ยวกับเรื่องใดเรื่องหนึ่ง
above,adv,A1,single,In or to a higher place; earlier in a text,"ข้างบน, ด้านบน",oxford3000,above,base,อยู่ในหรือไปยังที่สูงกว่า หรืออยู่ก่อนหน้าในเนื้อหา
above,prep,A1,single,In a higher place than something else,"เหนือ, อยู่เหนือ",oxford3000,above,base,อยู่ในตำแหน่งที่สูงกว่าสิ่งอื่น
abroad,adv,A2,single,In or to another country,ต่างประเทศ,oxford3000,abroad,base,อยู่ในหรือไปยังประเทศอื่น
absence,noun,C1,single,The fact of not being in a place; the lack of something,"การไม่อยู่, การขาด",oxford5000,absence,base,การไม่อยู่ในสถานที่หนึ่ง หรือการขาดสิ่งใดสิ่งหนึ่ง
absence,noun,C1,single,The fact of not being in a place; the lack of something,"การไม่อยู่, การขาด",oxford5000,absences,plural,การไม่อยู่ในสถานที่หนึ่ง หรือการขาดสิ่งใดสิ่งหนึ่ง
absent,adj,C1,single,Not in the place where you should be,"ขาด, ไม่อยู่",oxford5000,absent,base,ไม่อยู่ในสถานที่ที่ควรจะอยู่
absolute,adj,B2,single,"Complete and total, with no limits","สมบูรณ์, เด็ดขาด",oxford3000,absolute,base,สมบูรณ์และเต็มที่ ไม่มีขีดจำกัด
absolutely,adv,B1,single,Completely; in every way,"อย่างสมบูรณ์, อย่างที่สุด",oxford3000,absolutely,base,อย่างสมบูรณ์ ในทุกด้าน
absorb,verb,B2,single,To take in a liquid or gas slowly,"ดูดซับ, ซึมซับ",oxford5000,absorb,base,ดูดซับของเหลวหรือแก๊สเข้าไปอย่างช้าๆ
absorb,verb,B2,single,To take in a liquid or gas slowly,"ดูดซับ, ซึมซับ",oxford5000,absorbs,third_person,ดูดซับของเหลวหรือแก๊สเข้าไปอย่างช้าๆ
absorb,verb,B2,single,To take in a liquid or gas slowly,"ดูดซับ, ซึมซับ",oxford5000,absorbed,past,ดูดซับของเหลวหรือแก๊สเข้าไปอย่างช้าๆ
absorb,verb,B2,single,To take in a liquid or gas slowly,"ดูดซับ, ซึมซับ",oxford5000,absorbing,gerund,ดูดซับของเหลวหรือแก๊สเข้าไปอย่างช้าๆ
abstract,adj,B2,single,"About ideas and feelings, not about real objects",นามธรรม,oxford5000,abstract,base,เกี่ยวกับความคิดและความรู้สึก ไม่ใช่สิ่งของจริง
absurd,adj,C1,single,So silly that it is hard to believe,"ไร้สาระ, น่าขัน",oxford5000,absurd,base,ไร้สาระจนแทบไม่น่าเชื่อ
abundance,noun,C1,single,A very large amount of something,"ความอุดมสมบูรณ์, ความมากมาย",oxford5000,abundance,base,ปริมาณที่มากมายของสิ่งใดสิ่งหนึ่ง
abundance,noun,C1,single,A very large amount of something,"ความอุดมสมบูรณ์, ความมากมาย",oxford5000,abundances,plural,ปริมาณที่มากมายของสิ่งใดสิ่งหนึ่ง
abuse,noun,C1,single,Cruel or wrong treatment of a person or thing,"การทารุณ, การใช้ในทางที่ผิด",oxford5000,abuse,base,การปฏิบัติต่อคนหรือสิ่งของอย่างโหดร้ายหรือผิดๆ
abuse,noun,C1,single,Cruel or wrong treatment of a person or thing,"การทารุณ, การใช้ในทางที่ผิด",oxford5000,abuses,plural,การปฏิบัติต่อคนหรือสิ่งของอย่างโหดร้ายหรือผิดๆ
abuse,verb,C1,single,To treat a person or thing in a cruel or wrong way,"ทารุณ, ใช้ในทางที่ผิด",oxford5000,abuse,base,ปฏิบัติต่อคนหรือสิ่งของอย่างโหดร้ายหรือผิดๆ
abuse,verb,C1,single,To treat a person or thing in a cruel or wrong way,"ทารุณ, ใช้ในทางที่ผิด",oxford5000,abuses,third_person,ปฏิบัติต่อคนหรือสิ่งของอย่างโหดร้ายหรือผิดๆ
abuse,verb,C1,single,To treat a person or thing in a cruel or wrong way,"ทารุณ, ใช้ในทางที่ผิด",oxford5000,abused,past,ปฏิบัติต่อคนหรือสิ่งของอย่างโหดร้ายหรือผิดๆ
abuse,verb,C1,single,To treat a person or thing in a cruel or wrong way,"ทารุณ, ใช้ในทางที่ผิด",oxford5000,abusing,gerund,ปฏิบัติต่อคนหรือสิ่งของอย่างโหดร้ายหรือผิดๆ
academic,adj,B1,single,"About study, learning and schools",ทางวิชาการ,oxford3000,academic,base,เกี่ยวกับการเรียน การศึกษา และโรงเรียน
academic,noun,B2,single,A person who teaches or studies at a university,นักวิชาการ,oxford3000,academic,base,คนที่สอนหรือศึกษาอยู่ในมหาวิทยาลัย
academic,noun,B2,single,A person who teaches or studies at a university,นักวิชาการ,oxford3000,academics,plural,คนที่สอนหรือศึกษาอยู่ในมหาวิทยาลัย
academy,noun,C1,single,"A school for a special subject, or a group of experts","สถาบัน, วิทยาลัยเฉพาะทาง",oxford5000,academy,base,โรงเรียนสำหรับวิชาเฉพาะทาง หรือกลุ่มผู้เชี่ยวชาญ
academy,noun,C1,single,"A school for a special subject, or a group of experts","สถาบัน, วิทยาลัยเฉพาะทาง",oxford5000,academies,plural,โรงเรียนสำหรับวิชาเฉพาะทาง หรือกลุ่มผู้เชี่ยวชาญ
accelerate,verb,C1,single,"To go faster, or to make something happen sooner","เร่ง, เร่งความเร็ว",oxford5000,accelerate,base,เร่งให้เร็วขึ้น หรือทำให้สิ่งใดสิ่งหนึ่งเกิดขึ้นเร็วขึ้น
accelerate,verb,C1,single,"To go faster, or to make something happen sooner","เร่ง, เร่งความเร็ว",oxford5000,accelerates,third_person,เร่งให้เร็วขึ้น หรือทำให้สิ่งใดสิ่งหนึ่งเกิดขึ้นเร็วขึ้น
accelerate,verb,C1,single,"To go faster, or to make something happen sooner","เร่ง, เร่งความเร็ว",oxford5000,accelerated,past,เร่งให้เร็วขึ้น หรือทำให้สิ่งใดสิ่งหนึ่งเกิดขึ้นเร็วขึ้น
accelerate,verb,C1,single,"To go faster, or to make something happen sooner","เร่ง, เร่งความเร็ว",oxford5000,accelerating,gerund,เร่งให้เร็วขึ้น หรือทำให้สิ่งใดสิ่งหนึ่งเกิดขึ้นเร็วขึ้น
accent,noun,B2,single,The way people from a place or country say words,"สำเนียง, การออกเสียง",oxford5000,accent,base,วิธีที่คนจากสถานที่หรือประเทศหนึ่งออกเสียงคำพูด
accent,noun,B2,single,The way people from a place or country say words,"สำเนียง, การออกเสียง",oxford5000,accents,plural,วิธีที่คนจากสถานที่หรือประเทศหนึ่งออกเสียงคำพูด
accept,verb,A2,single,To say yes to something that is offered,"ยอมรับ, รับ",oxford3000,accept,base,ตอบตกลงรับสิ่งที่มีคนเสนอให้
